 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Circ.,Skew,AR,Round,Solidity
1,Scolor_TP_075-1.png,2.212,255,0,255,255,255,3.572,1.732,3.572,1.732,5.586,0.891,NaN,1.117,0.895,0.997
2,Scolor_TP_075-1.png,1.838,255,0,255,255,255,5.627,1.843,5.627,1.843,5.098,0.889,NaN,1.163,0.860,0.997
3,Scolor_TP_075-1.png,3.960,255,0,255,255,255,1.706,2.249,1.706,2.249,7.474,0.891,NaN,1.100,0.909,0.998
4,Scolor_TP_075-1.png,3.206,255,0,255,255,255,3.794,3.680,3.794,3.680,6.718,0.893,NaN,1.152,0.868,0.997
5,Scolor_TP_075-1.png,1.855,255,0,255,255,255,5.656,3.462,5.656,3.462,5.123,0.888,NaN,1.133,0.883,0.997
6,Scolor_TP_075-1.png,3.257,255,0,255,255,255,1.645,4.409,1.645,4.409,6.763,0.895,NaN,1.011,0.989,0.997
7,Scolor_TP_075-1.png,4.367,255,0,255,255,255,5.305,5.449,5.305,5.449,7.865,0.887,NaN,1.112,0.899,0.998
8,Scolor_TP_075-1.png,3.293,255,0,255,255,255,3.301,6.119,3.301,6.119,6.824,0.889,NaN,1.192,0.839,0.997
9,Scolor_TP_075-1.png,2.096,255,0,255,255,255,1.490,6.246,1.490,6.246,5.426,0.895,NaN,1.108,0.902,0.997
10,Scolor_TP_075-2.png,27.247,255,0,255,255,255,3.348,4.036,3.348,4.036,19.537,0.897,NaN,1.121,0.892,0.999
11,Scolor_TP_075-3.png,2.249,255,0,255,255,255,3.328,1.527,3.328,1.527,5.837,0.829,NaN,1.189,0.841,0.993
12,Scolor_TP_075-3.png,4.222,255,0,255,255,255,1.513,2.235,1.513,2.235,7.918,0.846,NaN,1.225,0.816,0.988
13,Scolor_TP_075-3.png,1.926,255,0,255,255,255,5.409,1.774,5.409,1.774,5.260,0.875,NaN,1.271,0.787,0.996
14,Scolor_TP_075-3.png,3.218,255,0,255,255,255,3.607,3.542,3.607,3.542,7.040,0.816,NaN,1.625,0.616,0.993
15,Scolor_TP_075-3.png,2.013,255,0,255,255,255,5.407,3.377,5.407,3.377,5.396,0.868,NaN,1.279,0.782,0.997
16,Scolor_TP_075-3.png,3.476,255,0,255,255,255,1.503,4.400,1.503,4.400,7.185,0.846,NaN,1.132,0.884,0.996
17,Scolor_TP_075-3.png,4.762,255,0,255,255,255,5.088,5.435,5.088,5.435,8.304,0.868,NaN,1.226,0.816,0.997
18,Scolor_TP_075-3.png,3.481,255,0,255,255,255,3.128,6.191,3.128,6.191,7.163,0.852,NaN,1.329,0.752,0.997
19,Scolor_TP_075-3.png,2.272,255,0,255,255,255,1.346,6.255,1.346,6.255,5.691,0.882,NaN,1.191,0.839,0.997
